Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,LAND 693/624 INS,36821,,1/18/2022,5/10/2022,,,,Li
202211 (CS Spring)  ,LAND 693/640 INS,36707,,1/18/2022,5/10/2022,,,,Hurst
202211 (CS Spring)  ,LAND 693/643 INS,18140,,1/18/2022,5/10/2022,,,,Newman
202211 (CS Spring)  ,LAW 602/601 LEC,43560,MW,1/18/2022,5/5/2022,1:10 PM,3:20 PM,LAWS 202,Bloch-Wehba
202211 (CS Spring)  ,LAW 603/602 LEC,43563,MW,1/18/2022,5/5/2022,3:40 PM,5:50 PM,LAWS 201,Barnes
202211 (CS Spring)  ,LAW 603/603 LEC,43562,MW,1/18/2022,5/5/2022,1:10 PM,3:20 PM,LAWS 204,Henning
202211 (CS Spring)  ,LAW 604/602 LEC,43889,TR,1/18/2022,5/5/2022,10:20 AM,11:50 AM,LAWS 204,Pham
202211 (CS Spring)  ,LAW 605/602 LEC,43565,MW,1/18/2022,5/5/2022,9:40 AM,11:50 AM,LAWS 204,Mulvaney
202211 (CS Spring)  ,LAW 605/603 LEC,43564,MW,1/18/2022,5/5/2022,9:40 AM,11:50 AM,LAWS 201,Casado-Perez
202211 (CS Spring)  ,LAW 607/601 LEC,43557,TR,1/18/2022,5/5/2022,10:20 AM,11:50 AM,LAWS 201,Alexander
202211 (CS Spring)  ,LAW 609/601 LEC,43912,TR,1/18/2022,5/5/2022,8:30 AM,10:00 AM,LAWS 212,Seymore
202211 (CS Spring)  ,LAW 610/601 LEC,43962,T,1/18/2022,5/5/2022,8:30 AM,10:00 AM,LAWS 201,Helge
202211 (CS Spring)  ,LAW 611/601 LEC,43558,MW,1/18/2022,5/5/2022,1:10 PM,3:20 PM,LAWS 201,Seymore
202211 (CS Spring)  ,LAW 612/601 LEC,43561,TR,1/18/2022,5/5/2022,1:30 PM,3:00 PM,LAWS 201,Markovic
202211 (CS Spring)  ,LAW 615/701 LEC,43591,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Moore
202211 (CS Spring)  ,LAW 618/701 LEC,43502,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Burge
202211 (CS Spring)  ,LAW 618/702 LEC,43503,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Marlett
202211 (CS Spring)  ,LAW 618/703 LEC,43504,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Marlett
202211 (CS Spring)  ,LAW 618/704 LEC,43505,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Marlett
202211 (CS Spring)  ,LAW 618/705 LEC,43506,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Marlett
202211 (CS Spring)  ,LAW 621/701 LEC,43603,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Snyder
202211 (CS Spring)  ,LAW 621/702 LEC,43604,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Snyder
202211 (CS Spring)  ,LAW 621/703 LEC,43605,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Burt
202211 (CS Spring)  ,LAW 621/704 LEC,43606,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Burt
202211 (CS Spring)  ,LAW 621/705 LEC,43607,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Burt
202211 (CS Spring)  ,LAW 621/706 LEC,44455,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Burt
202211 (CS Spring)  ,LAW 621/707 LEC,44652,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Burt
202211 (CS Spring)  ,LAW 625/701 LEC,43590,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Byrnes
202211 (CS Spring)  ,LAW 626/701 LEC,43585,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Byrnes
202211 (CS Spring)  ,LAW 633/601 LEC,43552,M,1/18/2022,5/5/2022,3:40 PM,5:50 PM,LAWS 202,Slattery
202211 (CS Spring)  ,LAW 637/601 LEC,44222,T,1/18/2022,5/5/2022,6:00 PM,9:15 PM,LAWS 204,Dryden
202211 (CS Spring)  ,LAW 639/601 LEC,43598,F,1/14/2022,1/14/2022,5:30 PM,9:00 PM,,Delaney
202211 (CS Spring)  ,LAW 639/601 LEC,43598,S,2/12/2022,2/12/2022,8:00 AM,6:00 PM,,Delaney
202211 (CS Spring)  ,LAW 639/601 LEC,43598,S,1/15/2022,1/15/2022,8:00 AM,6:00 PM,,Delaney
202211 (CS Spring)  ,LAW 639/601 LEC,43598,F,1/28/2022,1/28/2022,5:30 PM,9:00 PM,,Delaney
202211 (CS Spring)  ,LAW 639/601 LEC,43598,S,1/29/2022,1/29/2022,8:00 AM,6:00 PM,,Delaney
202211 (CS Spring)  ,LAW 639/601 LEC,43598,F,2/11/2022,2/11/2022,5:30 PM,9:00 PM,,Delaney
202211 (CS Spring)  ,LAW 641/601 LEC,43624,F,3/18/2022,3/18/2022,5:30 PM,10:00 PM,,
202211 (CS Spring)  ,LAW 641/601 LEC,43624,S,3/26/2022,3/26/2022,11:00 AM,3:00 PM,,
202211 (CS Spring)  ,LAW 641/601 LEC,43624,F,4/1/2022,4/1/2022,5:30 PM,10:00 PM,,
202211 (CS Spring)  ,LAW 641/601 LEC,43624,S,4/2/2022,4/2/2022,11:00 AM,3:00 PM,,
202211 (CS Spring)  ,LAW 641/601 LEC,43624,S,3/19/2022,3/19/2022,11:00 AM,3:00 PM,,
202211 (CS Spring)  ,LAW 641/601 LEC,43624,F,3/25/2022,3/25/2022,5:30 PM,10:00 PM,,
202211 (CS Spring)  ,LAW 643/701 LEC,43582,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Dancy
202211 (CS Spring)  ,LAW 643/702 LEC,43583,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Dancy
202211 (CS Spring)  ,LAW 643/703 LEC,43584,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Marlett
202211 (CS Spring)  ,LAW 645/701 LEC,43621,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Topinka
202211 (CS Spring)  ,LAW 645/702 LEC,43622,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Topinka
202211 (CS Spring)  ,LAW 645/703 LEC,44556,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Topinka
202211 (CS Spring)  ,LAW 650/701 LEC,43592,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Helge
202211 (CS Spring)  ,LAW 652/701 LEC,43608,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Wurtz
202211 (CS Spring)  ,LAW 657/701 LEC,43620,,1/18/2022,3/6/2022,,,ONLINE ONLINE,Emmert
202211 (CS Spring)  ,LAW 660/701 LEC,43623,,3/14/2022,5/1/2022,,,ONLINE ONLINE,Maher
